,district,date,month,year,visitors
362,Yadadri Bhongir,01-03-2016,March,2016, 
363,Yadadri Bhongir,01-04-2016,April,2016, 
364,Yadadri Bhongir,01-05-2016,May,2016, 
365,Yadadri Bhongir,01-06-2016,June,2016, 
366,Yadadri Bhongir,01-07-2016,July,2016, 
367,Yadadri Bhongir,01-08-2016,August,2016, 
368,Yadadri Bhongir,01-09-2016,September,2016, 
369,Yadadri Bhongir,01-10-2016,October,2016,584800
370,Yadadri Bhongir,01-11-2016,November,2016,681000
371,Yadadri Bhongir,01-12-2016,December,2016,462800
372,Adilabad,01-01-2017,January,2017,318799
373,Adilabad,01-02-2017,February,2017,83316
374,Adilabad,01-03-2017,March,2017,27508
375,Adilabad,01-04-2017,April,2017,13946
376,Adilabad,01-05-2017,May,2017,11752
377,Adilabad,01-06-2017,June,2017,26859
378,Adilabad,01-07-2017,July,2017,52386
379,Adilabad,01-08-2017,August,2017,34876
380,Adilabad,01-09-2017,September,2017,42699
381,Adilabad,01-10-2017,October,2017,41666
382,Adilabad,01-11-2017,November,2017,117322
383,Adilabad,01-12-2017,December,2017,54251
384,Bhadradri Kothagudem ,01-01-2017,January,2017,302315
385,Bhadradri Kothagudem ,01-02-2017,February,2017,251359
386,Bhadradri Kothagudem ,01-03-2017,March,2017,243943
387,Bhadradri Kothagudem ,01-04-2017,April,2017,667459
388,Bhadradri Kothagudem ,01-05-2017,May,2017,311626
389,Bhadradri Kothagudem ,01-06-2017,June,2017,351742
390,Bhadradri Kothagudem ,01-07-2017,July,2017,258114
391,Bhadradri Kothagudem ,01-08-2017,August,2017,316438
392,Bhadradri Kothagudem ,01-09-2017,September,2017,381784
393,Bhadradri Kothagudem ,01-10-2017,October,2017,334504
394,Bhadradri Kothagudem ,01-11-2017,November,2017,281515
395,Bhadradri Kothagudem ,01-12-2017,December,2017,393518
396,Hyderabad,01-01-2017,January,2017,1924695
397,Hyderabad,01-02-2017,February,2017,1886698
398,Hyderabad,01-03-2017,March,2017,1783903
399,Hyderabad,01-04-2017,April,2017,2366793
400,Hyderabad,01-05-2017,May,2017,2266793
401,Hyderabad,01-06-2017,June,2017,2007060
402,Hyderabad,01-07-2017,July,2017,1890870
403,Hyderabad,01-08-2017,August,2017,1976980
404,Hyderabad,01-09-2017,September,2017,2011280
405,Hyderabad,01-10-2017,October,2017,2202316
406,Hyderabad,01-11-2017,November,2017,1971438
407,Hyderabad,01-12-2017,December,2017,4871416
408,Jagtial ,01-01-2017,January,2017,174477
409,Jagtial ,01-02-2017,February,2017,159659
410,Jagtial ,01-03-2017,March,2017,323658
411,Jagtial ,01-04-2017,April,2017,330540
412,Jagtial ,01-05-2017,May,2017,468038
413,Jagtial ,01-06-2017,June,2017,418103
414,Jagtial ,01-07-2017,July,2017,247254
415,Jagtial ,01-08-2017,August,2017,386458
416,Jagtial ,01-09-2017,September,2017,143102
417,Jagtial ,01-10-2017,October,2017,248504
418,Jagtial ,01-11-2017,November,2017,348042
419,Jagtial ,01-12-2017,December,2017,393566
420,Jangaon ,01-01-2017,January,2017,12280
421,Jangaon ,01-02-2017,February,2017,12610
422,Jangaon ,01-03-2017,March,2017,8450
423,Jangaon ,01-04-2017,April,2017,9788
424,Jangaon ,01-05-2017,May,2017,12130
425,Jangaon ,01-06-2017,June,2017,13750
426,Jangaon ,01-07-2017,July,2017,16050
427,Jangaon ,01-08-2017,August,2017,15680
428,Jangaon ,01-09-2017,September,2017,15600
429,Jangaon ,01-10-2017,October,2017,16130
430,Jangaon ,01-11-2017,November,2017,16360
431,Jangaon ,01-12-2017,December,2017,16880
432,Jayashankar Bhoopalpally,01-01-2017,January,2017,96560
433,Jayashankar Bhoopalpally,01-02-2017,February,2017,96850
434,Jayashankar Bhoopalpally,01-03-2017,March,2017,81400
435,Jayashankar Bhoopalpally,01-04-2017,April,2017,90700
436,Jayashankar Bhoopalpally,01-05-2017,May,2017,91150
437,Jayashankar Bhoopalpally,01-06-2017,June,2017,93650
438,Jayashankar Bhoopalpally,01-07-2017,July,2017,94700
439,Jayashankar Bhoopalpally,01-08-2017,August,2017,118350
440,Jayashankar Bhoopalpally,01-09-2017,September,2017,112600
441,Jayashankar Bhoopalpally,01-10-2017,October,2017,115250
442,Jayashankar Bhoopalpally,01-11-2017,November,2017,116800
443,Jayashankar Bhoopalpally,01-12-2017,December,2017,723000
444,Jogulamba Gadwal ,01-01-2017,January,2017,214887
445,Jogulamba Gadwal ,01-02-2017,February,2017,481110
446,Jogulamba Gadwal ,01-03-2017,March,2017,155013
447,Jogulamba Gadwal ,01-04-2017,April,2017,131426
448,Jogulamba Gadwal ,01-05-2017,May,2017,131426
449,Jogulamba Gadwal ,01-06-2017,June,2017,160182
450,Jogulamba Gadwal ,01-07-2017,July,2017,160182
451,Jogulamba Gadwal ,01-08-2017,August,2017,131485
452,Jogulamba Gadwal ,01-09-2017,September,2017,123733
453,Jogulamba Gadwal ,01-10-2017,October,2017,152898
454,Jogulamba Gadwal ,01-11-2017,November,2017,188170
455,Jogulamba Gadwal ,01-12-2017,December,2017,214887
456,Kamareddy ,01-01-2017,January,2017,58
457,Kamareddy ,01-02-2017,February,2017,50
458,Kamareddy ,01-03-2017,March,2017,41
459,Kamareddy ,01-04-2017,April,2017,46
460,Kamareddy ,01-05-2017,May,2017,60
461,Kamareddy ,01-06-2017,June,2017,41
462,Kamareddy ,01-07-2017,July,2017,41
463,Kamareddy ,01-08-2017,August,2017,40
464,Kamareddy ,01-09-2017,September,2017,41
